country,admin,max_temperature,min_temperature,avg_temperature
Abyei,Administrative unit not available,307.70215,298.583,302.5444
Algeria,Adrar,308.00488,281.71655,295.90787
Algeria,Ain-Defla,300.55957,284.30054,291.8063
Algeria,Ain-Temouchent,298.76074,286.77515,292.13297
Algeria,Alger,299.17285,287.32593,292.46646
Algeria,Annaba,301.20605,285.5974,292.5833
Algeria,Batna,300.78418,280.34155,289.62888
Algeria,Bechar,304.34082,279.98218,292.22818
Algeria,Bejaia,299.2295,287.4568,292.49835
Algeria,Biskra,299.25293,278.03296,287.88132
Algeria,Blida,300.88574,282.60913,291.1476
Algeria,Bordj Bou Arrer,300.49512,280.5056,289.70016
Algeria,Bouira,301.01465,282.4314,291.14322
Algeria,Boumerdes,298.5498,286.6775,291.9007
Algeria,Chlef,300.55957,284.30054,291.8063
Algeria,Constantine,300.76074,281.5974,290.5109
Algeria,Djelfa,301.8291,280.18726,290.18503
Algeria,El Bayadh,302.03613,278.15796,290.16193
Algeria,El Oued,309.25293,285.39624,297.2065
Algeria,El-Tarf,299.25488,286.8689,292.08624
Algeria,Ghardaia,306.5381,281.91577,294.02505
Algeria,Guelma,301.26074,282.656,291.1608
Algeria,Illizi,307.34473,284.33765,296.7132
Algeria,Jijel,299.46777,287.656,292.6437
Algeria,Khenchela,301.19824,279.87085,289.78204
Algeria,Laghouat,302.7412,279.0818,290.40475
Algeria,M'Sila,302.18457,280.39233,290.53595
Algeria,Mascara,302.7666,282.6599,292.83493
Algeria,Medea,301.01465,282.4314,291.14322
Algeria,Mila,300.76074,281.5974,290.5109
Algeria,Mostaganem,299.22168,287.1814,292.3613
Algeria,Naama,302.9287,277.96655,290.69382
Algeria,Oran,300.72363,283.82007,292.32437
Algeria,Ouargla,308.62402,284.74976,296.73843
Algeria,Oum El Bouaghi,300.35254,280.78882,289.6655
Algeria,Relizane,303.69824,282.615,292.90182
Algeria,Saida,302.65723,280.865,291.39108
Algeria,Setif,298.7627,281.72632,289.4108
Algeria,Sidi Bel Abbes,302.03613,283.18726,292.64923
Algeria,Skikda,299.25293,286.96265,292.18277
Algeria,Souk-Ahras,300.31152,282.13257,290.40427
Algeria,Tamanrasset,309.5027,290.61304,301.3159
Algeria,Tebessa,301.1416,280.81226,290.23517
Algeria,Tiaret,302.52832,280.2693,290.8525
Algeria,Tindouf,310.88965,284.89233,298.8426
Algeria,Tipaza,300.28418,283.656,291.31525
Algeria,Tissemsilt,302.99512,281.80054,291.93326
Algeria,Tizi Ouzou,298.5498,286.6775,291.9007
Algeria,Tlemcen,300.96387,283.60132,292.1652
Angola,Bengo,298.59595,294.27832,296.96988
Angola,Benguela,298.89453,292.99316,296.54718
Angola,Bie,297.46533,293.9773,295.57516
Angola,Cabinda,299.45337,295.58496,297.90134
Angola,Cuando Cubango,297.2881,290.68262,294.00992
Angola,Cuanza Sul,300.66016,294.25488,298.097
Angola,Cunene,300.02637,290.43457,295.325
Angola,Huambo,293.92627,290.40137,292.27652
Angola,Huila,296.26074,289.11816,293.02975
Angola,Kuanza Norte,295.54492,293.20752,294.1292
Angola,Luanda,300.8672,294.5498,298.30582
Angola,Lunda Norte,299.15918,297.13892,298.2617
Angola,Lunda Sul,298.26465,295.83618,297.21808
Angola,Malanje,300.1084,298.08496,299.19757
Angola,Moxico,297.93604,294.81543,296.20456
Angola,Namibe,300.17773,293.02246,296.7114
Angola,Uige,300.54102,298.53345,299.67316
Angola,Zaire,300.84595,296.31543,298.9233
Benin,Alibori,308.12012,298.12085,302.39484
Benin,Atakora,307.333,299.4463,302.5825
Benin,Atlantique,302.50977,298.56934,300.6108
Benin,Borgou,306.17993,298.93262,301.4811
Benin,Collines,302.77563,298.00684,300.2443
Benin,Couffo,302.86743,298.65332,300.7565
Benin,Donga,303.8518,298.16064,300.17545
Benin,Littoral,301.74243,298.09277,300.22604
Benin,Mono,302.50977,298.56934,300.6108
Benin,Oueme,301.74243,298.09277,300.22604
Benin,Plateau,303.71875,298.667,300.94138
Benin,Zou,302.86743,298.65332,300.7565
Botswana,Central,300.8662,289.9541,296.6611
Botswana,Chobe,300.75684,289.5537,295.66275
Botswana,Ghanzi,301.47168,288.13574,295.95016
Botswana,Kgalagadi,299.41577,286.00488,294.5296
Botswana,Kgatleng,299.47437,286.74902,294.784
Botswana,Kweneng,298.70483,286.43457,294.2233
Botswana,Ngamiland,302.62207,289.6709,296.1219
Botswana,North East,298.2229,287.45215,293.97897
Botswana,South-East,298.54272,286.02808,294.00113
Botswana,Southern,297.51538,285.2019,292.81476
Burkina Faso,Boucle Du Mouhoun,307.8828,297.40405,302.4422
Burkina Faso,Cascades,303.46973,297.74316,300.26364
Burkina Faso,Centre,307.85254,298.98022,302.70636
Burkina Faso,Centre-est,307.6123,298.46265,302.29132
Burkina Faso,Centre-nord,308.39355,297.156,302.97183
Burkina Faso,Centre-ouest,306.5432,298.95605,301.9357
Burkina Faso,Centre-sud,306.86426,298.9392,301.96335
Burkina Faso,Est,307.93652,296.92358,302.54214
Burkina Faso,Hauts-bassins,305.81738,298.46973,301.39078
Burkina Faso,Nord,307.73047,296.656,302.21628
Burkina Faso,Plateau Central,307.2041,297.41577,302.1546
Burkina Faso,Sahel,309.13086,297.00952,303.80777
Burkina Faso,Sud-ouest,307.37598,299.21777,302.3011
Burundi,Bubanza,293.48535,291.92285,292.66193
Burundi,Bujumbura Mairie,293.45703,291.58496,292.88068
Burundi,Bujumbura Rural,293.45703,291.58496,292.88068
Burundi,Bururi,293.45703,291.58496,292.88068
Burundi,Cankuzo,296.26074,293.59204,294.5047
Burundi,Cibitoke,294.7881,293.24512,293.93082
Burundi,Gitega,296.0166,293.0166,293.9824
Burundi,Karuzi,296.0166,293.0166,293.9824
Burundi,Kayanza,293.48535,291.92285,292.66193
Burundi,Kirundo,297.09863,294.09985,295.17886
Burundi,Makamba,295.86572,293.28223,294.19724
Burundi,Muramvya,293.48535,291.92285,292.66193
Burundi,Muyinga,296.83496,294.17212,295.13052
Burundi,Mwaro,295.45557,292.96777,293.8426
Burundi,Ngozi,297.09863,294.09985,295.17886
Burundi,Rutana,295.45557,292.96777,293.8426
Burundi,Ruyigi,296.26074,293.59204,294.5047
Cameroon,Adamaoua,303.99902,297.4646,300.08966
Cameroon,Centre,300.44946,295.2173,297.24576
Cameroon,Est,299.68945,295.1162,297.00894
Cameroon,Extrême - Nord,308.68164,295.7849,302.81003
Cameroon,Littoral,301.36743,298.57324,299.98874
Cameroon,Nord,303.27637,293.57202,297.67007
Cameroon,Nord - Ouest,302.3479,296.9126,299.0698
Cameroon,Ouest,298.4807,293.61182,295.51608
Cameroon,Sud,299.6621,296.59277,297.76236
Cameroon,Sud - Ouest,301.36743,298.57324,299.98874
Central African Republic,Bamingui-Bangoran,307.12793,298.38965,301.819
Central African Republic,Bangui,302.0996,298.0459,299.9505
Central African Republic,Basse-Kotto,303.1797,297.62207,300.07697
Central African Republic,Haut-Mbomou,303.45337,296.15723,298.88263
Central African Republic,Haute-Kotto,302.83496,296.00293,298.5506
Central African Republic,Kémo,303.469,297.52637,299.9876
Central African Republic,Lobaye,301.125,296.6455,298.57794
Central African Republic,Mambéré-Kadéï,301.0315,296.59277,298.47443
Central African Republic,Mbomou,303.3518,296.9502,299.7918
Central African Republic,Nana-Gribizi,306.2002,299.15332,301.75552
Central African Republic,Nana-Mambéré,298.55493,293.9131,295.77017
Central African Republic,Ombella M'Poko,302.48462,297.16504,299.2625
Central African Republic,Ouaka,303.52563,296.6377,299.6686
Central African Republic,Ouham,306.2002,299.15332,301.75552
Central African Republic,Ouham Pendé,305.9873,297.5603,300.75436
Central African Republic,Sangha-Mbaéré,299.85938,296.2373,297.9749
Central African Republic,Vakaga,306.05566,297.68262,301.34927
Chad,Assongha,305.4922,295.10718,300.10837
Chad,Baguirmi,307.9834,296.64624,302.31345
Chad,Barh Koh,307.87793,298.115,301.90152
Chad,Barl El Gazal,308.17188,294.5935,302.43747
Chad,Batha Est,307.77148,297.16187,302.60968
Chad,Batha Ouest,308.46167,294.00952,302.8569
Chad,Biltine,306.51636,290.90405,300.4777
Chad,Borkou,300.75464,282.9099,293.6489
Chad,Daraba,308.375,296.14624,302.67886
Chad,Ennedi,304.23535,284.25366,296.68796
Chad,Guera,307.68066,297.49585,302.31003
Chad,Hadjer Lamis,308.0332,295.57397,302.14532
Chad,Kabia,307.7881,297.3064,301.6982
Chad,Kanem,308.0398,292.1521,301.85934
Chad,Lac,307.55933,293.28687,301.819
Chad,Lac Iro,307.39355,298.25757,301.79214
Chad,Logone Occidental,307.07715,297.19897,301.15216
Chad,Logone Oriental,307.07715,297.19897,301.15216
Chad,Mandoul,306.93652,297.52515,301.22995
Chad,Mayo-Boneye,308.35254,297.25366,302.12595
Chad,Mayo-Dala,307.56348,297.40405,301.46222
Chad,Mont De Lam,306.47363,297.13257,300.75943
Chad,Ouaddai,308.0957,295.87476,302.83136
Chad,Salamat,307.75293,298.0271,302.33478
Chad,Sila,305.95215,296.51733,300.80533
Chad,Tandjile Est,308.57715,298.40796,302.12515
Chad,Tandjile Ouest,307.87988,297.6892,301.8504
Chad,Tibesti,300.75464,282.9099,293.6489
Comoros,Anjouan,301.40845,297.74707,299.80826
Comoros,Moheli,301.30884,297.59668,299.68698
Comoros,Ngazidja,300.61548,296.84668,298.8771
Congo,Bouenza,298.69946,295.37207,297.36588
Congo,Cuvette,299.6787,297.69238,298.80807
Congo,Cuvette Ovest,298.95728,296.7295,297.94205
Congo,Kouilou,299.3518,295.458,297.78024
Congo,Lekoumou,298.4026,295.54395,297.18845
Congo,Likouala,299.98633,296.67285,298.36652
Congo,Niari,297.45142,295.00293,296.38507
Congo,Plateaux,300.03613,298.03027,299.12628
Congo,Pool,299.21313,296.19238,298.00015
Congo,Sangha,300.13477,296.97754,298.54214
Côte d'Ivoire,Bas Sassandra,301.25195,297.2744,299.55304
Côte d'Ivoire,Comoe,303.75195,298.78223,301.04996
Côte d'Ivoire,Denguele,304.08105,298.25757,300.555
Côte d'Ivoire,District autonome de Abidjan,301.42773,297.33887,299.71188
Côte d'Ivoire,District autonome de Yamoussoukro,302.74023,298.44238,300.28464
Côte d'Ivoire,Gôh-Djiboua,302.60547,298.1963,299.94366
Côte d'Ivoire,Lacs,302.9436,298.6631,300.7153
Côte d'Ivoire,Lagunes,302.81836,298.2881,300.12042
Côte d'Ivoire,Montagnes,301.1018,297.0791,299.03757
Côte d'Ivoire,Sassandra-Marahoue,302.4436,298.04004,300.0236
Côte d'Ivoire,Savanes,304.1455,298.37476,300.59372
Côte d'Ivoire,Vallee Du Bandama,303.5979,298.23926,300.71628
Côte d'Ivoire,Woroba,302.55884,298.03418,300.04245
Côte d'Ivoire,Zanzan,304.8186,298.0869,301.0148
Democratic Republic of the Congo,Bandundu,299.48535,297.76807,298.6865
Democratic Republic of the Congo,Bas-Congo,300.84595,296.31543,298.9233
Democratic Republic of the Congo,Equateur,303.14258,298.2295,300.41763
Democratic Republic of the Congo,Kasai Occidental,299.19336,297.82837,298.69464
Democratic Republic of the Congo,Kasai Oriental,299.78516,297.7893,298.94757
Democratic Republic of the Congo,Katanga,301.39722,297.39478,299.24542
Democratic Republic of the Congo,Kinshasa,299.60767,297.14355,298.4129
Democratic Republic of the Congo,Maniema,299.67773,297.5354,298.33835
Democratic Republic of the Congo,Nord-Kivu,299.2461,295.59424,297.37433
Democratic Republic of the Congo,Orientale,303.92773,297.45752,299.89938
Democratic Republic of the Congo,Sud-Kivu,291.7793,290.34473,291.0571
Djibouti,Ali Sabieh,306.86597,297.1643,301.69968
Djibouti,Dikhil,308.39917,297.4475,302.32648
Djibouti,Djibouti,306.86597,297.1643,301.69968
Djibouti,Obock,305.52026,298.40625,301.93
Djibouti,Tadjourah,308.39917,297.4475,302.32648
Egypt,Alexandria,300.2373,287.8474,294.03693
Egypt,Assiut,303.97754,283.51538,295.63736
Egypt,Aswan,308.00244,287.28687,300.02048
Egypt,Behera,300.5791,287.8025,294.42365
Egypt,Beni Suef,304.03027,286.63257,296.47556
Egypt,Cairo,302.3623,285.65405,295.11813
Egypt,Dakahlia,300.78223,287.9275,294.67545
Egypt,Damietta,300.41064,288.3103,294.4152
Egypt,Fayoum,304.13965,286.54468,296.59064
Egypt,Gharbia,302.0537,286.91772,295.4899
Egypt,Giza,302.6123,287.26343,296.11423
Egypt,Ismailia,302.7744,287.34155,295.7542
Egypt,Kafr El-Shikh,300.5791,287.8025,294.42365
Egypt,Kalyoubia,303.00684,287.37866,296.2988
Egypt,Luxor,306.7119,286.24194,298.37042
Egypt,Matrouh,300.2373,287.8474,294.03693
Egypt,Menia,303.09082,285.5857,295.57892
Egypt,Menoufia,302.6123,287.26343,296.11423
Egypt,New Valley,304.78027,285.7693,296.8177
Egypt,North Sinai,301.75488,286.6931,294.9194
Egypt,Port Said,300.30713,288.04077,294.38116
Egypt,Qena,306.6123,285.7693,298.23843
Egypt,Red Sea,304.46924,293.6892,299.4549
Egypt,Shrkia,302.09668,287.6521,295.62595
Egypt,South Sinai,304.4204,291.92163,298.64304
Egypt,Suez,303.51074,286.85522,296.0817
Egypt,Suhag,304.71973,284.42944,296.5921
Equatorial Guinea,Annobon,301.1272,296.62207,298.9858
Equatorial Guinea,Bioko Norte,299.719,296.99707,298.4767
Equatorial Guinea,Bioko Sur,300.4143,297.78418,299.1437
Equatorial Guinea,Centro Sur,298.5901,296.40332,297.53497
Equatorial Guinea,Kientem,298.82227,296.69238,297.8068
Equatorial Guinea,Litoral,300.7932,298.2119,299.4479
Equatorial Guinea,Welenzas,298.82227,296.69238,297.8068
Eritrea,Anseba,302.1277,290.83765,297.21677
Eritrea,Archipelagos,305.5005,298.82227,302.2695
Eritrea,Debub,301.114,291.17163,297.0418
Eritrea,Debubawi Keih Bahri,306.24487,297.54272,302.12515
Eritrea,Gash Barka,307.74487,295.0525,302.17917
Eritrea,Maekel,301.114,291.17163,297.0418
Eritrea,Semenawi Keih Bahri,305.52002,298.51343,302.37106
Ethiopia,Addis Ababa,291.90845,288.0869,289.76627
Ethiopia,Afar,306.8816,296.4607,303.08267
Ethiopia,Amhara,306.95215,297.4795,302.22232
Ethiopia,Beneshangul Gumu,298.7483,292.04004,295.1686
Ethiopia,Dire Dawa,294.4944,290.57446,292.41745
Ethiopia,Gambela,301.40063,294.96582,297.64127
Ethiopia,Hareri,294.43774,290.40405,292.8592
Ethiopia,Oromia,298.93652,292.52246,296.19986
Ethiopia,SNNPR,292.84204,288.5901,290.42642
Ethiopia,Somali,306.15894,295.65845,300.5677
Ethiopia,Tigray,303.74878,293.8806,299.87173
Gabon,Estuaire,300.67212,298.333,299.5156
Gabon,Haut-Ogooue,298.89282,296.68262,297.9671
Gabon,Moyen-Ogooue,300.3225,298.15137,299.35626
Gabon,Ngounie,298.97095,296.42285,297.8444
Gabon,Nyanga,300.05298,297.11426,298.82974
Gabon,Ogooue-Ivindo,299.28027,297.19238,298.23956
Gabon,Ogooue-Maritime,300.84204,297.292,299.23697
Gabon,Ogooue-lolo,298.98657,296.78223,298.10953
Gabon,Woleu-Ntem,298.95898,296.56348,297.73532
Gambia,Central River,306.17285,299.1267,302.3112
Gambia,Kanifing Municipal Council,301.9287,297.56226,300.0947
Gambia,Lower River,306.17285,299.1267,302.3112
Gambia,North Bank,301.9287,297.56226,300.0947
Gambia,Upper River,308.0088,300.22437,303.2399
Gambia,West Coast,301.63965,294.43652,298.4059
Ghana,Ashanti,304.16602,299.29004,301.25388
Ghana,Brong Ahafo,304.11548,298.68408,301.14825
Ghana,Central,302.92188,298.31543,300.13522
Ghana,Eastern,304.04297,299.81152,301.80338
Ghana,Greater Accra,302.66406,298.5166,300.89938
Ghana,Northern,306.05493,298.90527,301.48077
Ghana,Upper East,306.30103,299.1006,301.77213
Ghana,Upper West,306.5432,298.95605,301.9357
Ghana,Volta,303.97266,299.00684,301.3294
Ghana,Western,301.76367,298.27637,299.9567
Guinea,Boke,301.14062,298.77246,300.18033
Guinea,Conakry,301.08032,298.96973,300.2114
Guinea,Faranah,305.60254,298.58057,301.30792
Guinea,Kankan,305.65332,298.54785,301.30612
Guinea,Kindia,301.39746,298.62012,300.21774
Guinea,Labe,307.7295,299.58374,302.44562
Guinea,Mamou,301.7151,296.45605,298.74542
Guinea,Nzerekore,302.61353,297.84473,299.93356
Guinea-Bissau,Bafata,304.5205,299.62085,301.6219
Guinea-Bissau,Biombo,301.86157,299.01343,300.75485
Guinea-Bissau,Bolama/bijagos,301.61157,298.9314,300.07272
Guinea-Bissau,Cacheu,301.89673,298.531,299.97427
Guinea-Bissau,Gabu,306.35254,299.94702,302.11832
Guinea-Bissau,Oio,302.6162,298.54077,300.92316
Guinea-Bissau,Quinara,301.95923,299.35132,300.58966
