ADM0_CODE,ADM0_NAME,ADM1_CODE,ADM1_NAME,rate_landuse
220,Seychelles,61184,Mont Fleuri,0.9609375
29,Benin,616,Littoral,0.9405517578125
220,Seychelles,61179,Les Mamelles,0.921875
220,Seychelles,61183,Mont Buxton,0.912109375
253,Uganda,42182,Kampala,0.9051688058035714
220,Seychelles,61200,St Louis,0.890625
205,Rwanda,21970,Kigali City/Umujyi wa Kigali,0.839386343676815
49,Central African Republic,67154,Bangui,0.8178084935897436
220,Seychelles,61196,Roche Caiman,0.8177083333333334
155,Mali,1926,Bamako,0.8067461993243243
181,Niger,2206,Niamey,0.7894716005067568
253,Uganda,780,Maracha,0.7864583333333334
220,Seychelles,61164,English River,0.744140625
253,Uganda,1360,Mitooma,0.7106304048742138
257,United Republic of Tanzania,48382,Mjini Magharibi,0.710387323943662
79,Ethiopia,1227,Addis Ababa,0.7103284940944882
257,United Republic of Tanzania,48358,Dar es salaam,0.7099757726558408
133,Kenya,51332,Western,0.7075534673957482
271,Zimbabwe,3436,Harare,0.7030115927419355
133,Kenya,51328,Nairobi,0.6906774009146341
220,Seychelles,61139,Anse Etoile,0.68701171875
217,Senegal,2636,Dakar,0.6801117081447964
253,Uganda,47085,Mbale,0.668671875
159,Mauritania,2013,Nouakchott,0.6612936580882353
40765,Egypt,61523,Kalyoubia,0.6557293343528654
253,Uganda,747,Budaka,0.6343994140625
105,Guinea-Bissau,1392,Sector Autonomo De Bissau,0.6312569137168141
253,Uganda,762,Sheema,0.6193734793187348
160,Mauritius,2024,Port Louis,0.6183763586956522
253,Uganda,3110,Busia,0.6171666332799145
145,Libya,1850,Tripoli (tarabulus),0.6118987866620111
43,Burundi,40553,Muramvya,0.6106954225352113
205,Rwanda,21971,North/Amajyaruguru,0.6052318838212232
43,Burundi,40555,Mwaro,0.5956970531088083
220,Seychelles,61140,Anse Royale,0.5911458333333334
220,Seychelles,61146,Beau Vallon,0.5787760416666666
133,Kenya,51330,Nyanza,0.5689141433203802
253,Uganda,47090,Tororo,0.560447563559322
133,Kenya,51325,Central,0.5550667426503991
253,Uganda,1370,Lira,0.5544167201540436
253,Uganda,1366,Lwengo,0.5491604673093042
220,Seychelles,61137,Anse Aux Pins,0.548828125
169,Morocco,147330,Grand Casablanca,0.547948424796748
271,Zimbabwe,3435,Bulawayo,0.5464114310645725
205,Rwanda,21972,South/Amajyepfo,0.5428920800501432
253,Uganda,769,Manafwa,0.540275551994302
253,Uganda,47072,Ibanda,0.5319206305309735
253,Uganda,786,Soroti,0.5314106926799758
220,Seychelles,61145,Baie Lazare,0.5307291666666667
220,Seychelles,61190,Pointe Larue,0.5296875
253,Uganda,764,Kole,0.5287814238871225
220,Seychelles,61138,Anse Boileau,0.52734375
253,Uganda,750,Bukomansimbi,0.5244584517045454
106,Guinea,40701,Conakry,0.5229297911140584
220,Seychelles,61144,Au Cap,0.5225694444444444
253,Uganda,3125,Kisoro,0.5156497858502538
253,Uganda,785,Sironko,0.5108380088726514
253,Uganda,47086,Mbarara,0.5039454057279237
253,Uganda,3115,Kabale,0.49999042585784315
43,Burundi,40544,Bujumbura Rural,0.49489518919316844
253,Uganda,3141,Ntungamo,0.4941853654727197
253,Uganda,755,Bushenyi,0.49373441951566954
43,Burundi,40548,Gitega,0.4915631331607384
253,Uganda,852,Alebtong,0.4898594886681589
43,Burundi,40550,Kayanza,0.48961730072463766
253,Uganda,47080,Koboko,0.4875108758700696
220,Seychelles,61188,Plaisance,0.4875
253,Uganda,1235,Kibuku,0.48597580998248685
